Epoch,Iteration,Block,Top1 Mean,Top1 Std,Top3 Mean,Top3 Std,Top1% Mean,Top1% Std,Median Mean,Median Std,Sample Mean (All),Sample Min
0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,1,0.04742432,0.00000000,0.04414673,0.00000000,0.01955712,0.00000000,0.00158215,0.00000000,0.00269610,0.00269610
0,0,2,0.04595947,0.00000000,0.03950806,0.00000000,0.01565051,0.00000000,0.00101566,0.00000000,0.00195901,0.00195901
0,0,3,0.04284668,0.00000000,0.03643799,0.00000000,0.01380260,0.00000000,0.00094843,0.00000000,0.00177649,0.00177649
0,0,4,0.04852295,0.00000000,0.03914795,0.00000000,0.01348770,0.00000000,0.00069952,0.00000000,0.00151804,0.00151804
0,0,5,0.03509521,0.00000000,0.03023071,0.00000000,0.01182458,0.00000000,0.00061083,0.00000000,0.00132989,0.00132989
0,0,6,0.02670288,0.00000000,0.02410889,0.00000000,0.01023507,0.00000000,0.00047088,0.00000000,0.00115711,0.00115711
0,0,7,0.02642822,0.00000000,0.02323914,0.00000000,0.01000803,0.00000000,0.00047374,0.00000000,0.00112160,0.00112160
0,0,8,0.02090454,0.00000000,0.01968384,0.00000000,0.00921530,0.00000000,0.00038147,0.00000000,0.00100976,0.00100976
0,0,9,0.02059937,0.00000000,0.01922607,0.00000000,0.00871529,0.00000000,0.00038743,0.00000000,0.00097502,0.00097502
0,0,10,0.02018738,0.00000000,0.01871948,0.00000000,0.00763671,0.00000000,0.00036383,0.00000000,0.00089671,0.00089671
0,0,11,0.01989746,0.00000000,0.01897278,0.00000000,0.00773100,0.00000000,0.00026417,0.00000000,0.00081619,0.00081619
0,10000,0,0.03079224,0.00000000,0.02433472,0.00000000,0.00970142,0.00000000,0.00076199,0.00000000,0.00128289,0.00128289
0,10000,1,0.02537537,0.00000000,0.02255249,0.00000000,0.00780239,0.00000000,0.00060272,0.00000000,0.00101209,0.00101209
0,10000,2,0.01911926,0.00000000,0.01831055,0.00000000,0.00651999,0.00000000,0.00047183,0.00000000,0.00082768,0.00082768
0,10000,3,0.02354431,0.00000000,0.01903381,0.00000000,0.00624616,0.00000000,0.00038004,0.00000000,0.00071795,0.00071795
0,10000,4,0.01568604,0.00000000,0.01414032,0.00000000,0.00553677,0.00000000,0.00039840,0.00000000,0.00071391,0.00071391
0,10000,5,0.01194763,0.00000000,0.01160583,0.00000000,0.00528274,0.00000000,0.00033045,0.00000000,0.00064558,0.00064558
0,10000,6,0.01261902,0.00000000,0.01154480,0.00000000,0.00516067,0.00000000,0.00025201,0.00000000,0.00055752,0.00055752
0,10000,7,0.01346588,0.00000000,0.01307373,0.00000000,0.00568248,0.00000000,0.00023448,0.00000000,0.00057921,0.00057921
0,10000,8,0.01306915,0.00000000,0.01199341,0.00000000,0.00513673,0.00000000,0.00026560,0.00000000,0.00057980,0.00057980
0,10000,9,0.01342010,0.00000000,0.01306915,0.00000000,0.00526549,0.00000000,0.00021422,0.00000000,0.00052827,0.00052827
0,10000,10,0.01312256,0.00000000,0.01223450,0.00000000,0.00504633,0.00000000,0.00019252,0.00000000,0.00050314,0.00050314
0,10000,11,0.01236725,0.00000000,0.01134644,0.00000000,0.00493191,0.00000000,0.00015318,0.00000000,0.00046153,0.00046153
0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,0,1,0.04739380,0.00000000,0.04313965,0.00000000,0.01952854,0.00000000,0.00160217,0.00000000,0.00271663,0.00271663
0,0,2,0.05096436,0.00000000,0.04192505,0.00000000,0.01563380,0.00000000,0.00105667,0.00000000,0.00199793,0.00199793
0,0,3,0.04492188,0.00000000,0.03750000,0.00000000,0.01409933,0.00000000,0.00097752,0.00000000,0.00180384,0.00180384
0,0,4,0.05218506,0.00000000,0.04142456,0.00000000,0.01384607,0.00000000,0.00068855,0.00000000,0.00153625,0.00153625
0,0,5,0.03283691,0.00000000,0.03036804,0.00000000,0.01186950,0.00000000,0.00059748,0.00000000,0.00132982,0.00132982
0,0,6,0.02986145,0.00000000,0.02522278,0.00000000,0.01037718,0.00000000,0.00045919,0.00000000,0.00117358,0.00117358
0,0,7,0.02677917,0.00000000,0.02394104,0.00000000,0.01008227,0.00000000,0.00050783,0.00000000,0.00115991,0.00115991
0,0,8,0.02020264,0.00000000,0.01920776,0.00000000,0.00925672,0.00000000,0.00043201,0.00000000,0.00104588,0.00104588
0,0,9,0.02018738,0.00000000,0.01949463,0.00000000,0.00866511,0.00000000,0.00039816,0.00000000,0.00098548,0.00098548
0,0,10,0.01887512,0.00000000,0.01793823,0.00000000,0.00775143,0.00000000,0.00035977,0.00000000,0.00090716,0.00090716
0,0,11,0.01989746,0.00000000,0.01903381,0.00000000,0.00782982,0.00000000,0.00027061,0.00000000,0.00082681,0.00082681
